class,genus,species,adult_body_mass_g,longevity_y
Aves,Apus,caffer,22.1,10
Aves,Apus,cooki,44.425,-999
Aves,Apus,horus,24.75,-999
Aves,Apus,leuconyx,44.425,-999
Aves,Apus,niansae,40.05,21
Aves,Apus,nipalensis,24.575,-999
Aves,Apus,pacificus,44.425,-999
Aves,Apus,pallidus,41.9,-999
Aves,Apus,salimalii,44.425,-999
Aves,Apus,sladeniae,40.1,21
Aves,Apus,unicolor,23.35,-999
Aves,Chaetura,brachyura,18.75,-999
Aves,Chaetura,chapmani,23.85,-999
Aves,Chaetura,cinereiventris,14.4,-999
Aves,Chaetura,egregia,14.9,-999
Aves,Chaetura,fumosa,17.16666667,-999
Aves,Chaetura,martinica,12.6,-999
Aves,Chaetura,meridionalis,21.95,-999
Aves,Chaetura,pelagica,23.5,14
Aves,Chaetura,spinicaudus,15.7,-999
Aves,Chaetura,vauxi,18.225,5.091666667
Aves,Chaetura,viridipennis,23.85,-999
Aves,Collocalia,dodgei,6.1,-999
Aves,Collocalia,esculenta,6.85,-999
Aves,Collocalia,gigas,36.5,-999
Aves,Collocalia,linchi,6.1,-999
Aves,Collocalia,troglodytes,5.475,-999
Aves,Cypseloides,cherriei,22.3,-999
Aves,Cypseloides,cryptus,35.025,-999
Aves,Cypseloides,fumigatus,42,-999
Aves,Cypseloides,lemosi,28.1,-999
Aves,Cypseloides,niger,42.45,6
Aves,Cypseloides,senex,83.4125,-999
Aves,Cypseloides,storeri,39.5,-999
Aves,Cypsiurus,balasiensis,13.6,-999
Aves,Cypsiurus,parvus,13.6,-999
Aves,Hirundapus,caudacutus,113.1,-999
Aves,Hirundapus,celebensis,183.25,-999
Aves,Hirundapus,cochinchinensis,83.425,-999
Aves,Hirundapus,giganteus,127.75,-999
Aves,Hydrochous,gigas,35.8,-999
Aves,Mearnsia,novaeguineae,33.3,-999
Aves,Mearnsia,picina,42.5,-999
Aves,Neafrapus,boehmi,14.025,-999
Aves,Neafrapus,cassini,40,-999
Aves,Panyptila,cayennensis,21.21666667,-999
Aves,Panyptila,sanctihieronymi,48.6,-999
Aves,Rhaphidura,leucopygialis,13.625,-999
Aves,Rhaphidura,sabini,17.775,-999
Aves,Schoutedenapus,myoptilus,23,-999
Aves,Streptoprocne,biscutata,106,-999
Aves,Streptoprocne,phelpsi,21.625,-999
Aves,Streptoprocne,rutila,20.6,-999
Aves,Streptoprocne,semicollaris,175,-999
Aves,Streptoprocne,zonaris,86.66666667,-999
Aves,Tachornis,furcata,6.5,-999
Aves,Tachornis,phoenicobia,10.1,-999
Aves,Tachornis,squamata,10.3,-999
Aves,Tachymarptis,aequatorialis,92.8,-999
Aves,Tachymarptis,melba,97.83333333,26
Aves,Telacanthura,melanopygia,52,-999
Aves,Telacanthura,ussheri,32.65,-999
Aves,Zoonavena,sylvatica,-999,-999
Aves,Zoonavena,thomensis,8,-999
Aves,Hemiprocne,comata,20.7625,-999
Aves,Hemiprocne,coronata,30,-999
Aves,Hemiprocne,longipennis,42.8,-999
Aves,Hemiprocne,mystacea,69,-999
Aves,Abeillia,abeillei,2.7,-999
Aves,Adelomyia,melanogenys,4.075,-999
Aves,Aglaeactis,castelnaudii,6.7,-999
Aves,Aglaeactis,cupripennis,7.6,-999
Aves,Aglaeactis,pamela,5.5,-999
Aves,Aglaiocercus,berlepschi,4.9,-999
Aves,Aglaiocercus,coelestis,5.7,-999
Aves,Aglaiocercus,kingii,4.9,-999
Aves,Amazilia,amabilis,4.2,-999
Aves,Amazilia,amazilia,4.3,-999
Aves,Amazilia,beryllina,4.65,-999
Aves,Amazilia,boucardi,4.5,-999
Aves,Amazilia,brevirostris,4.466666667,-999
Aves,Amazilia,candida,3.775,-999
Aves,Amazilia,castaneiventris,5,-999
Aves,Amazilia,chionogaster,5.1,-999
Aves,Amazilia,cyanifrons,5,-999
Aves,Amazilia,cyanocephala,5.35,-999
Aves,Amazilia,cyanura,4.2,-999
Aves,Amazilia,decora,4.3,-999
Aves,Amazilia,edward,4.65,-999
Aves,Amazilia,fimbriata,4.9,-999
Aves,Amazilia,franciae,4.95,-999
Aves,Amazilia,lactea,5,-999
Aves,Amazilia,leucogaster,4.65,-999
Aves,Amazilia,luciae,-999,-999
Aves,Amazilia,rosenbergi,3.575,-999
Aves,Amazilia,rutila,4.9,-999
Aves,Amazilia,saucerottei,4.5,-999
Aves,Amazilia,tobaci,4.725,-999
Aves,Amazilia,tzacatl,5.05,7
Aves,Amazilia,versicolor,4.1,-999
Aves,Amazilia,violiceps,5.1,-999
Aves,Amazilia,viridicauda,5.95,-999
Aves,Amazilia,viridifrons,5.85,-999
Aves,Amazilia,viridigaster,3.95,-999
Aves,Amazilia,wagneri,5.85,-999
Aves,Amazilia,yucatanensis,3.86,11.16666667
Aves,Androdon,aequatorialis,7.3,-999
Aves,Anthracothorax,dominicus,5.95,-999
Aves,Anthracothorax,mango,8.3,-999
Aves,Anthracothorax,nigricollis,7.1,-999
Aves,Anthracothorax,prevostii,7,-999
Aves,Anthracothorax,viridigula,8.275,-999
Aves,Anthracothorax,viridis,6.75,-999
Aves,Aphantochroa,cirrochloris,7.7,-999
Aves,Archilochus,alexandri,3.45,10.54166667
Aves,Archilochus,colubris,3.1425,9
Aves,Atthis,ellioti,2.625,-999
Aves,Atthis,heloisa,2.275,-999
Aves,Augastes,lumachella,4,-999
Aves,Augastes,scutatus,3,-999
Aves,Avocettula,recurvirostris,4.2,-999
Aves,Basilinna,leucotis,3.6,-999
Aves,Basilinna,xantusii,3.45,-999
Aves,Boissonneaua,flavescens,8.2,-999
Aves,Boissonneaua,jardini,9.25,-999
Aves,Boissonneaua,matthewsii,7.5,-999
Aves,Calliphlox,amethystina,3,-999
Aves,Calliphlox,bryantae,3.5,-999
Aves,Calliphlox,evelynae,2.4,-999
Aves,Calliphlox,mitchellii,3.1,-999
Aves,Calothorax,lucifer,3.3,4.1
Aves,Calothorax,pulcher,2.6,-999
Aves,Calypte,anna,4.4,6.3
Aves,Calypte,costae,3.1175,6
Aves,Campylopterus,curvipennis,6,-999
Aves,Campylopterus,duidae,6.325,-999
Aves,Campylopterus,ensipennis,9.6,-999
Aves,Campylopterus,excellens,6.9,-999
Aves,Campylopterus,falcatus,7.2,-999
Aves,Campylopterus,hemileucurus,10.675,-999
Aves,Campylopterus,hyperythrus,6.2,-999
Aves,Campylopterus,largipennis,8.475,-999
Aves,Campylopterus,pampa,6,-999
Aves,Campylopterus,rufus,7.5,-999
Aves,Campylopterus,villaviscensio,7.55,-999
Aves,Chaetocercus,bombus,6.5,-999
Aves,Chaetocercus,mulsant,4.025,-999
Aves,Chalcostigma,herrani,5.8,-999
Aves,Chalcostigma,ruficeps,3.4,-999
Aves,Chalcostigma,stanleyi,5.525,-999
Aves,Chalybura,buffonii,6.875,-999
Aves,Chalybura,urochrysia,6.775,-999
Aves,Chlorestes,notata,4.2,-999
Aves,Chlorostilbon,alice,-999,-999
Aves,Chlorostilbon,assimilis,2.775,-999
Aves,Chlorostilbon,auriceps,2.7,-999
